"source","job_id","title","company","location","job_url","modality","seniority","is_remote","salary","post_date","tags","description_snippet","fetched_at"
"LinkedIn","4452255982","Mid-Level AI / Machine Learning Engineer","Ytech","Portugal","https://pt.linkedin.com/jobs/view/mid-level-ai-machine-learning-engineer-at-ytech-4452255982","On-site / Hybrid","Entry-Level / Early Career",False,"","8 hours ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4440258758","Junior AI Engineer","InnoWave","Lisbon, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/junior-ai-engineer-at-innowave-4440258758","On-site / Hybrid","Junior / Trainee / Internship",False,"","1 month ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4455257191","AI/Machine Learning Engineer","Exodia","Portugal","https://pt.linkedin.com/jobs/view/ai-machine-learning-engineer-at-exodia-4455257191","On-site / Hybrid","Entry-Level / Early Career",False,"","15 hours ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4453076856","Junior AI/ML Engineer","TensorOps","Portugal","https://pt.linkedin.com/jobs/view/junior-ai-ml-engineer-at-tensorops-4453076856","On-site / Hybrid","Junior / Trainee / Internship",False,"","5 days ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4442641443","AI Solutions Engineer","Metyis","Porto, Porto, Portugal","https://pt.linkedin.com/jobs/view/ai-solutions-engineer-at-metyis-4442641443","On-site / Hybrid","Entry-Level / Early Career",False,"","5 days ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4414752224","AI Engineer","InnoWave","Lisbon, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/ai-engineer-at-innowave-4414752224","On-site / Hybrid","Entry-Level / Early Career",False,"","3 months ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4411677306","Machine Learning Engineer","ISS Tech Team","Porto, Portugal","https://pt.linkedin.com/jobs/view/machine-learning-engineer-at-iss-tech-team-4411677306","On-site / Hybrid","Entry-Level / Early Career",False,"","13 hours ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4431772032","Gen AI Trainee","Euronext","Porto, Porto, Portugal","https://pt.linkedin.com/jobs/view/gen-ai-trainee-at-euronext-4431772032","On-site / Hybrid","Junior / Trainee / Internship",False,"","3 weeks ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4447377771","AI Engineer","PrimeIT","Lisbon Metropolitan Area","https://pt.linkedin.com/jobs/view/ai-engineer-at-primeit-4447377771","On-site / Hybrid","Entry-Level / Early Career",False,"","1 week ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4419870909","Machine Learning Engineer - Generative AI & Unstructured Data","Oliver Wyman","Lisbon, Portugal","https://pt.linkedin.com/jobs/view/machine-learning-engineer-generative-ai-unstructured-data-at-oliver-wyman-4419870909","On-site / Hybrid","Entry-Level / Early Career",False,"","1 month ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4442259517","Artificial Intelligence Engineer (m/f)","GuestWorld Lda","Porto Salvo, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/artificial-intelligence-engineer-m-f-at-guestworld-lda-4442259517","On-site / Hybrid","Entry-Level / Early Career",False,"","3 weeks ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4440487154","AI Engineer","Closer Consulting","Lisbon Metropolitan Area","https://pt.linkedin.com/jobs/view/ai-engineer-at-closer-consulting-4440487154","On-site / Hybrid","Entry-Level / Early Career",False,"","3 weeks ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4428753027","AI Engineer","Imaginary Cloud","Lisboa, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/ai-engineer-at-imaginary-cloud-4428753027","On-site / Hybrid","Entry-Level / Early Career",False,"","2 months ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4443389092","Machine Learning Engineer","MeetTheWorld","Porto, Porto, Portugal","https://pt.linkedin.com/jobs/view/machine-learning-engineer-at-meettheworld-4443389092","On-site / Hybrid","Entry-Level / Early Career",False,"","3 weeks ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4455305508","AI Enginner","Affinity","Lisbon Metropolitan Area","https://pt.linkedin.com/jobs/view/ai-enginner-at-affinity-4455305508","On-site / Hybrid","Entry-Level / Early Career",False,"","8 hours ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4445773233","Machine Learning/AI Engineer","CodeWin","Porto, Portugal","https://pt.linkedin.com/jobs/view/machine-learning-ai-engineer-at-codewin-4445773233","On-site / Hybrid","Entry-Level / Early Career",False,"","2 weeks ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4449510394","AI / Generative AI Engineer | LLMs, RAG & Agentic AI | Hybrid @Portugal","BindWorks","Porto, Portugal","https://pt.linkedin.com/jobs/view/ai-generative-ai-engineer-llms-rag-agentic-ai-hybrid-%40portugal-at-bindworks-4449510394","Hybrid","Entry-Level / Early Career",False,"","1 week ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4449750777","AI Engineer","KCS iT","Porto, Portugal","https://pt.linkedin.com/jobs/view/ai-engineer-at-kcs-it-4449750777","On-site / Hybrid","Entry-Level / Early Career",False,"","1 week ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4441300489","Machine Learning Engineer","Hostelworld Group","Porto, Porto, Portugal","https://pt.linkedin.com/jobs/view/machine-learning-engineer-at-hostelworld-group-4441300489","On-site / Hybrid","Entry-Level / Early Career",False,"","1 week ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4448640155","Oliver Wyman - Machine Learning Engineer, Generative AI & Unstructured Data - Lisbon","Oliver Wyman","Lisbon, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/oliver-wyman-machine-learning-engineer-generative-ai-unstructured-data-lisbon-at-oliver-wyman-4448640155","On-site / Hybrid","Entry-Level / Early Career",False,"","2 weeks ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4344414182","AI Full Stack Engineer","pleez","Lisboa, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/ai-full-stack-engineer-at-pleez-4344414182","On-site / Hybrid","Entry-Level / Early Career",False,"","8 months ago","[]","","2026-08-18 00:03:34"
"LinkedIn","4389567757","Distributed Cloud | AI/ML Engineer","Devoteam","Lisbon, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/distributed-cloud-ai-ml-engineer-at-devoteam-4389567757","On-site / Hybrid","Entry-Level / Early Career",False,"","2 weeks ago","[]","","2026-08-18 00:03:34"
"LinkedIn","4453115092","Agentic AI Engineer (d/m/f)","ams OSRAM","Carnaxide, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/agentic-ai-engineer-d-m-f-at-ams-osram-4453115092","On-site / Hybrid","Entry-Level / Early Career",False,"","5 days ago","[]","","2026-08-18 00:03:34"
"LinkedIn","4435436545","Creative Tech | Edge AI Engineer","Devoteam","Lisbon, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/creative-tech-edge-ai-engineer-at-devoteam-4435436545","On-site / Hybrid","Entry-Level / Early Career",False,"","3 days ago","[]","","2026-08-18 00:03:34"
